"","glmGamPoi (Pb)","edgeR (Pb)","limma (Pb)","glmGamPoi (cell)","Nebula","Devil (base)","Devil (mixed)"
"1",0.0247599819264744,0.0933329301419816,0.0310710039198847,1.06578427911422e-05,7.49005824835614e-06,1.02889487298177e-05,9.71448204732895e-08
"2",0.00225207019440892,0.0164385003983133,0.00309195591000915,2.69324426190694e-09,1.77100128955268e-09,2.62648294782449e-09,3.51835207304705e-05
"3",4.08764982585796e-16,4.57379324669188e-08,8.16186618891213e-15,4.07464924893211e-80,5.90734212774592e-97,1.54255936398497e-80,3.53387299953001e-63
"4",0.00725956576317009,0.0171176521466808,0.0196254047225544,6.54464274409262e-18,1.30211807074379e-18,6.31804536423018e-18,2.89526876688788e-50
"5",1.34969177953754e-07,0.0001884897037789,2.70779197406861e-07,1.38730944833813e-47,4.93400548503717e-56,2.00824488477081e-47,6.02703142307143e-62
"6",0.010489797344441,0.0542087433074791,0.0157697008852224,6.76439819996668e-10,9.55400156346444e-10,8.68334770001393e-10,3.45874849733741e-10
"7",0.12844317399635,0.185426068140878,0.275084764538816,2.36672271369856e-06,3.75855087353201e-05,2.34293830790723e-06,0.00029706640406555
"8",0.00148904103729875,0.0114348685166882,0.000312923936001815,9.26104031871209e-32,2.85467090205272e-34,7.53311016973574e-32,8.17654967725666e-22
"9",0.00726587834877588,0.0225299423720664,0.0178370702797648,1.63184051083914e-31,3.17119314023944e-33,2.55255468220182e-31,2.00481433025478e-44
"10",5.13536999418414e-05,0.00217236986496752,7.79732842874664e-05,2.07516060006452e-55,6.69670288564007e-61,1.59807456462205e-55,1.79858091476894e-50
"11",7.87984272816229e-05,0.00117181333961983,7.43625753894415e-05,2.93853718762695e-17,2.0327902239901e-17,5.17523229881837e-17,3.25842346869444e-20
"12",2.10698471810558e-05,0.00274761585855156,8.32691916030969e-05,1.96681708182608e-17,8.31901164731676e-19,2.60459577083501e-17,8.05582565095279e-61
"13",0.0367570936271624,0.110143101828483,0.0548279523189276,3.08995027004796e-07,1.93624767722022e-07,3.04690449236877e-07,4.92637322275063e-07
"14",0.0141177571456005,0.0301570647551118,0.012220353430118,1.83893891961713e-12,6.20527016155834e-13,1.81043808658921e-12,3.6629271046631e-12
"15",0.00153410658563455,0.0108234331132072,0.0017406053771867,3.36243567314027e-18,2.88086695938598e-19,3.26014843675729e-18,2.13148601801769e-23
"16",0.0092794582035193,0.0385452046497343,0.0173761770000078,3.56669897708286e-07,3.88155520979984e-07,3.51568299829554e-07,9.207535740011e-18
"17",0.000234204057183282,0.0061406218428273,0.000229659712582979,1.11767040998058e-15,1.32205366035451e-16,1.11162429884056e-15,1.52429435555652e-32
"18",0.0168790432545402,0.0924732494849593,0.0171196148082792,2.93599071935015e-07,4.95277052277872e-07,3.57568097046325e-07,8.61794280315278e-09
"19",1.64466563977412e-05,0.00151377223783795,3.57554832927935e-05,1.49553749410413e-36,1.45347860923961e-43,1.3853073720311e-36,3.48972303900282e-74
"20",0.0174387773357494,0.0691958380123606,0.0122118021136698,1.62455437902287e-16,2.37136981086474e-17,1.44450099068967e-16,1.11973234386364e-25
"21",0.000387727304788061,0.00966707901887335,0.000240899496137721,7.99436253328363e-29,2.32225649249725e-29,1.26070848653937e-28,4.44049114259985e-25
"22",0.050502025966263,0.0727320902658218,0.0367939528221864,2.99452562640054e-11,3.74011385928874e-13,2.82964235104736e-11,1.60449834687268e-10
"23",0.000439968730285448,0.00436020503170307,0.000537736473585297,3.26337418353092e-15,3.71467142502143e-17,3.05703539639407e-15,1.75735480203406e-18
"24",0.00626835767920459,0.0156430137790437,0.012867245274077,3.69758837907358e-11,3.83397616943862e-11,3.87245812499222e-11,4.50103221237861e-14
"25",0.0002729006749493,0.00699986016232516,0.000242600908573247,6.15953629785696e-14,7.6944042673746e-14,8.91373830558356e-14,3.64409028375671e-16
