"","glmGamPoi (Pb)","edgeR (Pb)","limma (Pb)","glmGamPoi (cell)","Nebula","Devil (base)","Devil (mixed)"
"1",0.00459182115627465,0.0134398352119834,0.00315928513749603,0.00262998530802808,0.00276906787588646,0.00297282198866814,1.32443181724812e-05
"2",0.000137017498009081,0.00594354302901524,0.00062320688879986,9.86193478367279e-10,9.20049480260564e-09,1.44523756798335e-09,6.072165523815e-12
"3",0.0609896674900787,0.149959202002643,0.0963790025930893,0.0244425308859353,0.0262182050647353,0.0258778018251858,0.0184059258418603
"4",0.000750242330012196,0.0405836934840709,0.00103323398889103,1.76253595940922e-05,3.68388956258489e-05,2.19785786079276e-05,0.000108553436796718
"5",5.80254645707998e-12,2.00508050463894e-05,2.85717651976868e-11,1.22184391750318e-48,1.84544750336308e-55,5.93896200313006e-49,2.10399325347475e-53
"6",2.73650842471957e-08,0.00114308976459094,5.49569158941171e-08,2.18233610489708e-27,1.01707885175308e-32,4.24639351685124e-27,2.46649339787942e-21
"7",7.40425699311238e-06,0.000198539062191484,0.000122545521152367,1.38601320389248e-08,2.2487759743014e-08,2.16058156806552e-08,5.14410914534771e-12
"8",1.19017595474035e-10,4.42098823751188e-05,3.82361847049016e-10,2.64128371692196e-40,3.75662783655416e-55,2.98407687368094e-40,2.53199269072347e-41
"9",0.00219750166360806,0.023609980248246,0.00227977581064335,2.75551194454693e-06,4.08311272101517e-06,3.45093981692892e-06,4.06477852247961e-06
"10",0.0258404444133713,0.159387384815473,0.0440934236144433,0.0112533125771312,0.0136701925501465,0.012087707799913,0.00732038589950191
"11",2.87748540176351e-05,0.000309046091697769,2.33806635306739e-05,1.01022395916639e-05,1.23267119488953e-05,1.34126986066651e-05,3.51954820330345e-06
"12",5.07023551564645e-05,0.000587897318525679,0.000396720266171362,9.2723551596207e-08,3.14871337596838e-07,1.50638812383889e-07,1.21222575545003e-07
"13",2.48786411638306e-05,0.00134370473256686,2.13649623812801e-05,4.44930568678695e-07,5.55811458915739e-07,6.15090867313571e-07,6.22438651958977e-17
"14",7.9510825514672e-14,8.70748130006054e-07,1.21306027090828e-13,9.75857063724611e-37,1.02680745081881e-42,1.54394179251898e-36,1.08623676490432e-26
"15",0.0249465919025225,0.04527798288649,0.0729530499928304,0.00316140186109634,0.00237454245035584,0.00354314580123997,0.000727641964049239
"16",1.51424041458114e-09,8.14078698773189e-05,4.48832462541313e-09,4.56879231758254e-57,2.70722825447748e-61,1.24076279910489e-57,6.17759080350661e-43
"17",0.00226887075353566,0.0136167920915296,0.0104712823036651,0.00153784621335765,0.00227308061470574,0.00176021836742325,6.43271180107079e-05
"18",0.102060783711978,0.239479186207074,0.114708306180801,0.0410178849630189,0.0424546803103004,0.0428906143779408,0.030823943324158
"19",9.8309406442203e-06,0.0010660882814767,8.8047965650098e-06,6.73456516742449e-10,4.14432574362618e-10,1.02906742625196e-09,4.44699308791892e-12
"20",6.37299304672717e-14,1.47929343013442e-06,2.18884716721185e-13,1.07049413098107e-55,7.62636872133608e-63,3.39679453876883e-56,6.46717980403627e-51
"21",0.00181832259746768,0.0266542101467411,0.0035760002953214,1.29292396642781e-05,2.01982200503449e-05,1.61250760713388e-05,4.13605737218211e-11
"22",2.54372778335443e-05,0.000662337220816754,0.000197309772205185,3.13966316116722e-09,8.77540493356194e-09,5.01974484477301e-09,2.27522042847457e-18
"23",0.00954560168133265,0.024830067368245,0.0162480396172583,0.00521124828195738,0.00578746116199006,0.00577734395137785,0.0100859060574361
"24",0.124520070094201,0.219967228948443,0.144693858270143,0.0608716423407107,0.0625708612551875,0.0632146271681782,0.0127625492368909
"25",1.14166204145224e-08,2.49583396706934e-05,2.00925091301807e-08,2.82608188904652e-13,5.53040626609716e-13,5.04365490846393e-13,3.46236920926138e-15
