"","glmGamPoi (Pb)","edgeR (Pb)","limma (Pb)","glmGamPoi (cell)","Nebula","Devil (base)","Devil (mixed)","glmGamPoi (fixed)"
"1",0.00152399878233932,0.00432825166027989,0.000839247722039696,5.42695158407272e-163,1.88608215019622e-05,3.59839199990471e-162,2.82853571082899e-07,1.43594847339179e-89
"2",0.00841051395668649,0.0302155768160273,0.0117240046888417,8.67169536447048e-72,0.00645476310714655,7.00624209190998e-72,0.0485197644022173,1.48853999148821e-86
"3",0.00117780442881166,0.00453795000957131,0.000805426373093638,0,1.5910610484426e-06,0,1.16553828325747e-07,1.90779167391163e-259
"4",7.01381648659883e-07,2.12269237578074e-05,5.17996905019982e-07,2.47034640081256e-142,8.75662565592574e-13,8.82894479439742e-142,6.02189342264796e-18,4.53352936953055e-88
"5",3.41763532555637e-05,0.00255376296152626,2.48466734461434e-05,3.85925461313624e-233,5.45949497629829e-05,2.92704951599094e-236,6.10199494911144e-08,5.4861197290281e-219
"6",0.03805129523218,0.0768693746876766,0.0648606517202828,3.39687230229888e-180,0.0240434280503734,4.18388935020856e-181,0.104822800285076,2.62416895624642e-242
"7",0.00966373925305464,0.0300568263556557,0.00803140075786357,3.32953370868029e-59,0.00658179388733378,2.52480091537414e-59,0.0250296832638722,1.27059691961259e-56
"8",3.89696849514189e-05,0.000533331878136838,3.53974415052765e-05,1.45397051135828e-290,7.344051839157e-09,4.02336133740959e-289,7.74330909564535e-07,1.57795000969565e-218
"9",6.48473831771612e-06,0.000297967366208266,1.21980473268666e-05,2.05040451557071e-172,1.01235084162149e-50,6.3122233023464e-171,3.52734237653774e-58,2.87006579829781e-133
"10",1.90964690977147e-08,9.1057740301165e-06,2.74958699473213e-08,7.36652081357067e-219,3.01478265270595e-09,6.0016457023528e-219,2.37338584199141e-06,5.24932939878555e-185
"11",1.7158526218079e-08,1.77174422215362e-05,1.76678836923645e-08,0,2.05330880320686e-06,0,1.40920551928469e-05,0
"12",3.28215492636375e-06,0.00018561790538793,3.03284981928608e-06,0,1.97416021228003e-05,0,0.0003033125947595,0
"13",0.000203170761329727,0.000939270486514398,0.000174176370570036,3.08993610071059e-141,0.000179080903454021,3.62140396304509e-141,8.45724660411603e-05,3.39820138623249e-81
"14",0.00025740429496859,0.00273941200973997,0.000219540756772889,1.89627698589999e-209,0.000123162243462457,4.58005652584164e-209,5.38512499520307e-05,1.73210507606403e-167
"15",4.11559634873803e-09,5.18580590293372e-06,6.02934892777364e-09,0,5.12836577149032e-07,0,6.67426904523563e-06,0
"16",5.35509404400477e-09,1.49158509667721e-06,4.50636654700737e-09,0,5.1445861128095e-08,0,1.78970667272469e-07,9.24502723547937e-299
"17",0.000252454646451829,0.00428314627138036,0.000280814353135108,3.15363204109362e-62,0.000880314942179599,2.65115244963477e-62,0.00338980991536417,3.68047396634582e-56
"18",2.10344237940151e-05,0.000467657082689254,2.07156272849545e-05,0,2.42118277419794e-05,0,0.000799209495246568,3.45845952088873e-323
"19",7.40011692977663e-08,2.06300152529639e-05,1.71953565724104e-07,4.84394772222431e-92,9.70969404806724e-13,1.6669987995507e-91,2.45633389650647e-13,3.04685468252658e-68
